FID,INTERACTION_ID,INTERACTIONS
403507,781098,87232
538721,503116,10512
284439,284439,6809
284439,8446,5764
405154,244062,5227
460287,272116,4368
460287,247143,4271
460287,408746,4197
460287,292506,3879
460287,403619,3724
460287,263574,3648
460287,218142,3547
243719,781098,3185
324808,197687,3079
324808,239533,3074
460287,250874,3029
460287,480793,2985
460287,236581,2813
460287,265323,2811
460287,483365,2789
460287,429539,2736
473086,502765,2609
460287,477292,2609
460287,422233,2590
460287,281836,2563
460287,411778,2504
510583,388302,2446
460287,270228,2416
460287,12626,2397
460287,508096,2395
460287,486468,2377
460287,531649,2358
460287,436577,2273
545464,388302,2195
460287,427349,2118
324808,18069,2078
460287,354775,2075
510831,388302,2033
460287,449882,1976
506958,388302,1937
460287,242661,1930
460287,250739,1928
284439,382802,1892
324808,258274,1889
460287,315697,1873
460287,417063,1872
324808,213628,1849
460287,535208,1845
460287,285462,1842
460287,266782,1806
460287,426178,1791
460287,477741,1776
518884,388302,1772
460287,234616,1762
460287,488848,1734
460287,375727,1716
460287,535238,1708
460287,516028,1703
460287,396484,1684
460287,440747,1668
460287,473065,1655
593396,234434,1632
460287,503541,1611
460287,466111,1608
460287,4482,1595
460287,509022,1592
460287,218369,1582
460287,465392,1540
460287,403090,1520
460287,407705,1489
234434,593396,1444
460287,430244,1433
460287,462982,1427
786858,12626,1427
786858,564721,1421
460287,420554,1416
460287,401724,1396
460287,423036,1381
460287,245124,1359
460287,406815,1309
460287,247653,1305
460287,243719,1297
473086,418321,1281
460287,402888,1276
460287,294370,1259
260657,382802,1254
460287,311387,1232
460287,420657,1229
460287,405979,1222
324808,258564,1220
460287,439396,1200
460287,484256,1194
460287,407021,1192
460287,504991,1162
460287,503286,1162
460287,386444,1160
460287,353819,1154
460287,8152,1151
460287,368412,1150
460287,270005,1150
460287,544047,1133
460287,420540,1132
600714,388302,1112
460287,380136,1090
460287,285604,1090
460287,631749,1087
324808,301447,1072
460287,318908,1064
460287,274908,1063
460287,301144,1061
272115,388302,1058
460287,597941,1056
460287,262938,1055
460287,264222,1027
460287,284679,1026
460287,397392,1025
460287,518129,1012
460287,349975,1012
429389,388302,1010
460287,455119,1002
460287,426167,1001
460287,500268,1001
483595,388302,994
460287,14345,992
460287,318089,974
460287,343622,969
460287,236210,967
460287,306175,963
460287,470886,959
509369,424006,957
460287,454819,955
460287,419350,952
460287,301202,952
460287,466688,948
520832,388302,945
460287,230238,939
460287,326306,938
460287,395131,936
460287,343855,935
443434,388302,933
324808,234616,927
460287,457675,926
460287,406493,920
460287,501169,920
460287,504228,919
702530,562300,915
460287,306729,913
460287,449044,912
460287,500235,908
460287,480642,903
460287,500500,899
460287,380455,895
460287,414258,893
460287,500428,889
460287,401441,882
460287,309242,881
460287,401049,879
460287,500783,877
460287,389456,876
460287,300265,873
460287,397815,872
460287,500537,863
460287,421000,861
460287,498108,859
460287,459170,857
460287,397488,855
460287,444033,851
460287,264612,845
460287,379673,840
324808,317072,838
460287,381369,838
460287,485585,834
460287,510956,833
460287,275486,829
460287,500205,827
460287,500710,826
460287,249647,825
460287,199325,825
460287,415305,824
460287,540412,823
20596,20596,821
449210,388302,817
460287,377731,816
509124,388302,813
460287,488178,811
496705,388302,809
460287,509624,805
460287,432952,800
510677,388302,797
460287,403020,796
480704,388302,796
460287,196041,793
460287,500144,792
460287,416704,791
460287,501067,790
324808,274983,788
460287,288204,786
473807,388302,784
460287,322662,779
460287,377111,779
460287,456735,776
449250,388302,774
460287,435501,770
430244,430244,768
460287,214598,765
460287,462351,764
460287,284408,761
460287,445796,744
460287,337056,740
460287,460229,737
460287,20118,736
460287,410867,734
472159,388302,733
786858,214570,730
460287,528707,730
460287,501102,729
460287,350698,723
460287,421851,719
438719,388302,718
460287,416401,717
460287,475326,717
657052,404871,714
460287,421231,710
460287,466926,703
477510,388302,703
483595,483595,702
460287,498568,701
